Number,Eigenvalue,Difference,Proportion,Cumulative,DataSourceType
1,4.913821622658971,3.4652328630798217,0.4913821622658971,0.4913821622658971,BASE
2,1.4485887595791493,0.42196665370473463,0.14485887595791494,0.6362410382238121,BASE
3,1.0266221058744147,0.05476512243747689,0.10266221058744147,0.7389032488112536,BASE
4,0.9718569834369378,0.24553069014485118,0.09718569834369378,0.8360889471549473,BASE
5,0.7263262932920866,0.2678423673142086,0.07263262932920866,0.908721576484156,BASE
6,0.45848392597787807,0.19264147235314782,0.04584839259778781,0.9545699690819438,BASE
7,0.26584245362473025,0.15140814728455593,0.026584245362473023,0.9811542144444168,BASE
8,0.11443430634017433,0.06233624970136033,0.011443430634017433,0.9925976450784342,BASE
9,0.052098056638814005,0.03017256406197261,0.005209805663881401,0.9978074507423156,BASE
10,0.021925492576841395,,0.0021925492576841395,0.9999999999999997,BASE
1,5.043889372845719,3.6120868046187775,0.5043889372845719,0.5043889372845719,COMPARE
2,1.4318025682269413,0.38938480707444323,0.14318025682269414,0.647569194107266,COMPARE
3,1.042417761152498,0.06252664257829255,0.1042417761152498,0.7518109702225158,COMPARE
4,0.9798911185742055,0.2895093946989694,0.09798911185742055,0.8498000820799364,COMPARE
5,0.6903817238752361,0.2803627447413744,0.0690381723875236,0.9188382544674599,COMPARE
6,0.4100189791338617,0.17489771094264567,0.04100189791338617,0.9598401523808461,COMPARE
7,0.23512126819121604,0.13240684208482545,0.023512126819121605,0.9833522791999677,COMPARE
8,0.1027144261063906,0.05842384284369047,0.01027144261063906,0.9936237218106067,COMPARE
9,0.044290583262700134,0.024818384631467953,0.004429058326270013,0.9980527801368767,COMPARE
10,0.01947219863123218,,0.0019472198631232181,1.0,COMPARE
