Variable,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10,DataSourceType
wksSinceFirstPurch,-0.36228044671526055,0.367592762273259,0.11974951987290519,-0.1124006633079016,0.3037134098580918,-0.034331058526545846,0.3663361357070781,-0.2616364164588712,0.638089158598171,0.0584856602965172,BASE
socialMediaAdCount36,-0.278613539486414,-0.05331935062871176,-0.39108493377065284,-0.050098797768324065,-0.7398292660989657,-0.29968088758446326,0.1323927058573601,-0.3123199290008921,0.07617257149162932,-0.07774588658063447,BASE
wksSinceLastPurch,0.11411518623895694,0.612892064358705,0.2961452056945926,0.23579060690594172,-0.4392790470502017,0.43766691271807456,-0.26306176933723796,-0.10774264146495444,0.033496505671490706,0.039893028468902865,BASE
intAdExposureCount12,-0.3013076733444706,-0.516581525193361,0.042386082866155625,0.12006704003042867,0.0805748078451426,0.4296996126629369,-0.34548902952536176,-0.5004756298198518,0.09594329533124735,0.23657312066949948,BASE
totalNumProdPurchased,-0.37242880406018986,0.20212475466365365,-0.06238542570843569,-0.1733883809454695,0.08802560487299527,-0.36994313579213817,-0.7516680547258089,0.24115880902526063,0.11512330504814278,0.07392330895456495,BASE
intAdExposureCount36,-0.39150916387797297,-0.2022414930221992,-0.04961125537482125,0.06571511425114618,-0.22545795845819727,0.4101877931662212,0.16265309793763658,0.7041500059020736,0.2401260833104482,-0.003175930963555035,BASE
socialMediaAdCountAll,-0.42216688192930024,0.2252998337909623,0.03188577557691891,-0.0695658825422025,0.04917939533382981,0.005302420164250865,0.250970595179268,0.00285051070774045,-0.6065555715044665,0.5760279845925884,BASE
regionPctCustomers,-0.017530247401322144,0.2197237834994145,-0.6797829875307311,0.6396323552988084,0.27279657245231836,0.07053395527510303,-0.02720245716599551,0.00044724538716434115,-0.006292968898860862,-0.002627804995273264,BASE
ID,0.1662664303406271,0.17285689193619488,-0.5141096234579422,-0.6825276984951989,0.06788142322292248,0.4479366095241284,-0.06652300164069361,-0.04792691865093497,-0.0185960170833831,-2.4406894423290026e-06,BASE
intAdExposureCountAll,-0.4349246287252864,0.09415600920180339,0.09711090792532243,-0.02545326861740123,0.1446657258230955,0.14851380537031128,0.009665674832807405,-0.12501279032377977,-0.3708151120671174,-0.7718075038328001,BASE
wksSinceFirstPurch,-0.35999307109992373,0.36423583125759557,0.1260460312030937,-0.16631322734472767,0.28536550164613156,-0.06865322652479117,0.35135117707564545,-0.26960592445474596,0.6364461703356402,0.08272901247935138,COMPARE
socialMediaAdCount36,-0.277309391773246,-0.04925522633075582,-0.4314358973645251,0.030560910854439922,-0.7346117840988552,-0.2627816730414279,0.08860374501833189,-0.31924729133212726,0.09222350183431921,-0.08135852222330268,COMPARE
wksSinceLastPurch,0.12731081888255408,0.6336988435624578,0.2998832104648948,0.1813337808478281,-0.40885019811699197,0.4491122985951341,-0.27667278336512824,-0.10443537558254636,0.031662222293662945,0.045699417604615426,COMPARE
intAdExposureCount12,-0.30548991238011497,-0.5061516563653429,0.07033203122083892,0.13362247368804825,0.10696172517663616,0.4318599390142921,-0.36041465262240907,-0.475423458242354,0.10129200323091031,0.25210073409983574,COMPARE
totalNumProdPurchased,-0.37763118965522624,0.18474407719384625,-0.07532149367583807,-0.1797179518219817,0.07760036035985185,-0.3592165221772404,-0.7357185174407886,0.3020581387644261,0.09740454302787094,0.09069517126101785,COMPARE
intAdExposureCount36,-0.3920160566723365,-0.17815146876360416,-0.035528313659250355,0.0720618399851094,-0.21753139884699613,0.4374342477776074,0.21779645578619167,0.6876475079357086,0.22173456439084868,0.001027936293974449,COMPARE
socialMediaAdCountAll,-0.4180445527671572,0.21913109747527357,0.03607860323514972,-0.08923881953231386,0.02849518382324659,-0.008866540506868137,0.2631592942025192,-0.034675470951761156,-0.6362469242152118,0.5401843569302773,COMPARE
regionPctCustomers,-0.03458737374254676,0.26199297789518833,-0.6138061746834802,0.652926813758545,0.3441279947068343,0.09046846364612071,-0.01887801129254782,0.007897721531248125,-0.008014155558197594,-0.0005909706070184317,COMPARE
ID,0.16455963720616068,0.128875681650248,-0.5525768060937855,-0.6680536272928279,0.08292456907965845,0.43622507244798187,-0.06220334653049478,-0.05482978081516446,-0.025044038313583605,0.0016869741165076446,COMPARE
intAdExposureCountAll,-0.42971274825907607,0.08947870576098338,0.11297136426559695,-0.051038658115278045,0.14442472146020932,0.1381555641488341,-0.007726127291567159,-0.14174032113850032,-0.3331862700797573,-0.7879495409666537,COMPARE
